WeekStartDate,AvgOpen,AvgHigh,AvgLow,AvgClose,MaxHigh,MinLow,FirstDayOpen,LastDayClose,TotalVolume,WeekReturns
1996-05-13,23.46,23.6000002,22.8599996,23.22,24.1,22.299999,24,22.799999,2240000,-5.00000416666667
1996-05-20,22.4800004,22.5600002,21.9199998,22.16,23,21.4,22.9,21.6,1085000,-5.6768558951965
1996-05-28,20.9500005,21.1499995,20.42500025,20.725,22.1,19.799999,21.9,20.4,860000,-6.84931506849316
1996-06-03,21.0520002,21.5399998,20.8600002,21.3320004,22,20,20.4,21.6,535000,5.88235294117649
1996-06-10,21.7400006,22.0000006,21.4600004,21.732,22.200001,21.1,21.700001,22,360000,1.38248380725881
1996-06-17,21.4720002,21.5560002,21.0840002,21.2360002,22.059999,20.48,22,20.700001,250000,-5.90908636363636
1996-06-24,20.4359998,20.6240002,20.2119996,20.4520002,20.799999,20.059999,20.66,20.66,445000,0
1996-07-01,21.27,21.53999975,20.93999975,21.30000025,21.799999,20.6,20.66,20.700001,335000,0.193615682478221
1996-07-08,20.9519994,21.2759998,20.6320002,20.9559998,21.5,20.6,20.799999,20.84,530000,0.192312509245784
1996-07-15,20.8720002,21.1919998,20.636,20.9520004,21.360001,20.1,20.799999,21.1,490000,1.44231256934195
1996-07-22,20.588,20.824,20.428,20.528,21.200001,20.1,21,20.4,280000,-2.85714285714287
1996-07-29,20.5040002,20.744,20.4600002,20.6120002,20.959999,20.4,20.4,20.959999,205000,2.74509313725491
1996-08-05,20.8359996,20.9200002,20.6720002,20.8239992,21.120001,20.5,20.959999,20.799999,260000,-0.763358815045745
1996-08-12,21.2280002,21.5600002,21.076,21.4480004,22.34,20.639999,20.799999,21.860001,400000,5.09616370654633
1996-08-19,21.5319998,21.6079998,21.3400002,21.384,22,21.200001,22,21.34,210000,-3
1996-08-26,21.1160002,21.156,20.8960004,20.9680002,21.34,20.68,21.34,20.82,190000,-2.43673851921274
1996-09-03,20.9549995,21.06,20.81,20.975,21.120001,20.719999,20.9,21.040001,115000,0.669861244019154
1996-09-09,21.3239998,21.4799996,21.168,21.3560004,21.639999,21,21.1,21.459999,260000,1.70615639810425
1996-09-16,21.6799998,21.8319994,21.5039998,21.6919998,21.92,21.4,21.5,21.74,425000,1.11627906976743
1996-09-23,21.5319998,21.6,21.3520004,21.48,21.66,21.24,21.66,21.360001,245000,-1.38503693444136
1996-09-30,21.3520002,21.4839996,21.2600004,21.3839998,21.6,21.16,21.280001,21.4,310000,0.563905048688662
1996-10-07,21.2720004,21.3560004,21.1759998,21.2239998,21.440001,21.1,21.440001,21.16,370000,-1.30597475251982
1996-10-14,21.3680002,21.5319996,21.2880006,21.4559996,21.799999,21.120001,21.200001,21.68,385000,2.26414611961574
1996-10-21,21.64,21.7479998,21.5400002,21.672,21.879999,21.440001,21.68,21.719999,190000,0.184497232472336
1996-10-28,21.6119994,21.7239996,21.5199998,21.5720002,21.799999,21.459999,21.74,21.620001,235000,-0.551973321067156
1996-11-04,21.7880002,21.912,21.668,21.864,22,21.48,21.52,21.879999,335000,1.67285780669146
1996-11-11,22.0879996,22.2880002,21.9911248,22.1279998,22.58,21.799999,21.799999,22.08,480000,1.28440831579855
1996-11-18,22.1159998,22.2080002,21.9960004,22.1560002,22.280001,21.9,22.139999,22.16,355000,0.0903387574678671
1996-11-25,22.0049995,22.075,21.9300005,22.01999975,22.18,21.860001,22.059999,22.059999,275000,0
1996-12-02,21.9080008,22.0240004,21.768,21.9199996,22.16,21.559999,21.940001,21.719999,815000,-1.00274380115114
1996-12-09,21.9600002,22.172,21.9040002,21.9999998,22.280001,21.799999,22,21.940001,635000,-0.272722727272734
1996-12-16,21.9159996,22.0720002,21.8519996,21.9319996,22.200001,21.66,21.879999,22.059999,860000,0.822669141803889
1996-12-23,22.2399995,22.65999975,22.205,22.36499975,23.5,21.98,22.059999,22.6,755000,2.44787409101876
1996-12-30,22.28000025,22.32500025,22.09000025,22.1800005,22.559999,21.9,22.559999,22.120001,815000,-1.95034583113236
1997-01-06,22.0560006,22.2080006,21.9480004,22.0840004,22.280001,21.76,22.120001,22.120001,1170000,0
1997-01-13,22.3959998,22.6200006,22.3599996,22.5960002,23,22.040001,22.040001,23,1005000,4.35571214357022
1997-01-20,23.116,23.2200004,22.9999998,23.124,23.280001,22.76,22.959999,22.860001,790000,-0.435531377854148
1997-01-27,22.9160004,23.1039998,22.8440002,23.004,23.299999,22.6,22.780001,23.1,605000,1.40473654939701
1997-02-03,23.448,23.6400004,23.3759992,23.5560002,23.940001,23.059999,23.200001,23.940001,900000,3.18965503492865
1997-02-10,24.228,24.4200004,24.104,24.2760004,25,23.9,23.959999,24.360001,940000,1.66945749872527
1997-02-18,24.09999975,24.19999975,23.89500025,24.0600005,24.32,23.860001,24.059999,24.120001,480000,0.249384881520553
1997-02-24,24.036,24.0760002,23.9119998,23.988,24.24,23.559999,24.059999,23.76,295000,-1.2468786885652
1997-03-03,24.148,24.4600004,24.0799994,24.2880006,24.959999,23.74,23.780001,24.860001,540000,4.54163143222746
1997-03-10,24.7919996,24.9120004,24.5919998,24.7480006,25.040001,24.459999,24.92,24.66,505000,-1.04333868378813
1997-03-17,24.4719998,24.6999994,24.2960002,24.58,25,24.02,24.459999,25,770000,2.20769019655316
1997-03-24,24.98999975,25.165,24.765,25.01499925,25.280001,24.48,25,24.98,405000,-0.0800000000000023
1997-03-31,24.2959998,24.4199998,24.0400002,24.2240002,24.9,23.940001,24.9,24.48,800000,-1.6867469879518
1997-04-07,24.884,25.0559998,24.6600002,24.9279994,25.280001,24.34,24.620001,24.459999,470000,-0.649886244927445
1997-04-14,25.0239998,25.1720002,24.9400004,25.136,25.360001,24.459999,24.5,25.299999,425000,3.26530204081632
