WeekStartDate,AvgOpen,AvgHigh,AvgLow,AvgClose,MaxHigh,MinLow,FirstDayOpen,LastDayClose,TotalVolume,WeekReturns
1999-05-04,70.453125,72.84375,67.515625,70.390625,77.25,66.25,76,74.125,37654600,-2.4671052631579
1999-05-10,71.775,73.4125,70.0875,71.6375,75.25,69.0625,73.375,70.1875,10289800,-4.34412265758092
1999-05-17,68.8875,69.8875,68.15,68.4875,70.4375,67.5,69.125,67.5,5666500,-2.3508137432188
1999-05-24,65.9,67.275,64.75,66.3125,68.8125,63.0625,67,67.9375,6880700,1.39925373134329
1999-06-01,64.671875,65.46875,63.25,64.109375,67,62,66.625,65.375,5368200,-1.87617260787992
1999-06-07,64.725,65.6375,63.6375,64.3625,67.75,62.3125,65.1875,63.25,3708500,-2.97219558964525
1999-06-14,63.8125,64.9125,62.9375,63.8125,66.875,60.5,63.5,64.8125,3912700,2.06692913385826
1999-06-21,67.0875,68.1625,65.8125,66.7625,70.125,64.5,66.6875,66.25,6849000,-0.656044985941895
1999-06-28,68.575,70.175,67.4625,69.6625,72.25,65.75,66.4375,70.9375,4892500,6.77328316086547
1999-07-06,68.75,69.5625,67.921875,68.25,71.1875,67.1875,70,67.25,2133500,-3.92857142857143
1999-07-12,67.875,68.425,67.6125,67.975,68.9375,67.3125,68,68.0625,3746900,0.0919117647058876
1999-07-19,67.975,68.775,66.75,67.2,70.75,64,68.25,64.0625,3505000,-6.13553113553114
1999-07-26,64.85,65.475,63.725,64.825,66.375,63.1875,64.25,64.3125,3202100,0.0972762645914393
1999-08-02,61.275,61.5625,59.3875,59.825,64.5625,56,64.25,56.25,5534100,-12.4513618677043
1999-08-09,58.9,60.3375,58.2125,59.625,63.25,55.1875,56.5,63.125,5924300,11.7256637168142
1999-08-16,62.5375,63.1875,61.4,62.4125,64.5,60.8125,63,62.3125,3583000,-1.09126984126984
1999-08-23,63.3,64.2,62.4,63.075,65,61.5,62.8125,61.5625,2825000,-1.99004975124378
1999-08-30,60.4125,61.3,59.4875,60.3625,63.125,58.6875,61.75,63.125,2977300,2.22672064777327
1999-09-07,62.578125,63.4296875,61.796875,62.4765625,64.4375,61,63,63.09375,2630800,0.148809523809534
1999-09-13,60.175,60.7,58.95,59.5125,62.8125,57.4375,62.1875,60.0625,4251400,-3.41708542713568
1999-09-20,60.675,61.7875,59.7125,60.7875,62.25,58.375,60.0625,61.9375,6346800,3.12174817898023
1999-09-27,61.725,62.275,60.55,61.0875,62.75,58.3125,62,59.1875,4152200,-4.53629032258065
1999-10-04,62.05,63.4,61.55,63.0125,64.125,59.5,59.5,63.9375,3579200,7.45798319327731
1999-10-11,62.1625,62.7,60.8125,61.875,63.9375,58.25,63.75,59.75,3370500,-6.27450980392157
