WeekStartDate,AvgOpen,AvgHigh,AvgLow,AvgClose,MaxHigh,MinLow,FirstDayOpen,LastDayClose,TotalVolume,WeekReturns
2006-05-30,4.56875,4.6785,4.47225,4.586,4.87,4.285,4.497,4.699,179497000,4.49188347787415
2006-06-05,4.8352,4.896,4.6946,4.811,5.063,4.55,4.705,4.778,159057000,1.55154091392136
2006-06-12,4.6,4.6634,4.5234,4.5708,4.825,4.444,4.8,4.502,76013000,-6.20833333333334
2006-06-19,4.552,4.6242,4.4864,4.5442,4.793,4.347,4.545,4.695,78014000,3.30033003300332
2006-06-26,4.718,4.7804,4.6746,4.7554,4.809,4.643,4.695,4.8,67581000,2.23642172523961
2006-07-03,4.7325,4.751,4.6515,4.6955,4.8,4.575,4.79,4.612,36772000,-3.7160751565762
2006-07-10,4.5778,4.5864,4.5032,4.5412,4.657,4.39,4.62,4.395,47017000,-4.87012987012988
2006-07-17,4.4552,4.501,4.4218,4.48,4.578,4.367,4.391,4.528,52120000,3.12001821908447
2006-07-24,4.604,4.675,4.5746,4.6116,4.785,4.499,4.545,4.63,32603000,1.87018701870187
2006-07-31,4.7928,4.8824,4.7302,4.8186,5.15,4.47,4.63,5.005,101283000,8.09935205183585
2006-08-07,5.206,5.3366,5.173,5.2752,5.45,5.025,5.05,5.368,53837000,6.2970297029703
2006-08-14,5.408,5.4558,5.3518,5.398,5.543,5.246,5.375,5.345,49770000,-0.558139534883728
2006-08-21,5.4726,5.57,5.4258,5.4948,5.585,5.28,5.33,5.5,46123000,3.18949343339587
2006-08-28,5.536,5.611,5.5264,5.5614,5.75,5.477,5.485,5.655,40342000,3.09936189608022
2006-09-05,5.83275,5.956,5.76525,5.89,6.125,5.625,5.69,5.975,62037000,5.00878734622143
2006-09-11,6.1276,6.2978,6.0996,6.2616,6.52,5.96,5.975,6.497,78735000,8.73640167364018
2006-09-18,6.6474,6.79,6.5038,6.6298,6.96,6.43,6.574,6.593,113332000,0.289017341040454
2006-09-25,6.6354,6.8058,6.5124,6.7448,7.045,6.22,6.525,7.035,128730000,7.81609195402297
2006-10-02,7.0186,7.2082,6.9566,7.14,7.585,6.84,7.035,7.515,108971000,6.8230277185501
2006-10-09,7.082,7.2,6.9654,7.0942,7.325,6.828,7.19,7.009,125769000,-2.51738525730181
2006-10-16,7.0792,7.1968,6.9882,7.096,7.29,6.927,7,7.122,45907000,1.74285714285713
